,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,2020-07-25,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,2,0,Santos,2.3,0.3,66.0,,José Corona,4-3-3,Fernando Hernández,Match Report,,21,6,21.1,1.0,0,1,2021,Cruz Azul
1,2020-07-31,19:30,Liga MX,Guardianes 2020 Regular Season,Fri,Away,D,1,1,Puebla,1.9,0.4,66.0,,José Corona,4-3-3,Óscar Macias,Match Report,,24,7,17.3,0.0,0,0,2021,Cruz Azul
2,2020-08-08,19:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,2,0,León,1.5,1.0,34.0,,José Corona,4-1-4-1,César Arturo Ramos,Match Report,,15,3,17.8,0.0,1,1,2021,Cruz Azul
3,2020-08-12,17:00,Liga MX,Guardianes 2020 Regular Season,Wed,Away,L,0,1,Querétaro,1.4,0.5,72.0,,José Corona,4-4-2,Jorge Rojas,Match Report,,20,4,19.7,2.0,0,0,2021,Cruz Azul
4,2020-08-15,19:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,3,2,FC Juárez,2.2,0.7,59.0,,José Corona,4-4-2,Jorge Pérez,Match Report,,16,6,15.4,0.0,0,0,2021,Cruz Azul
5,2020-08-23,19:35,Liga MX,Guardianes 2020 Regular Season,Sun,Away,W,3,1,Atlético,1.6,2.9,44.0,,José Corona,4-4-2,Oscar Mejia,Match Report,,9,3,19.6,1.0,1,1,2021,Cruz Azul
6,2020-08-29,21:00,Liga MX,Guardianes 2020 Regular Season,Sat,Home,W,3,0,Necaxa,2.0,0.6,54.0,,José Corona,4-4-2,Marco Antonio Nava,Match Report,,17,6,20.7,1.0,0,0,2021,Cruz Azul
7,2020-09-05,19:00,Liga MX,Guardianes 2020 Regular Season,Sat,Away,L,0,1,Atlas,0.7,1.5,61.0,,José Corona,4-1-3-2,Erick Yair Miranda,Match Report,,17,2,22.2,0.0,0,0,2021,Cruz Azul
8,2020-09-09,19:00,Liga MX,Guardianes 2020 Regular Season,Wed,Home,W,1,0,Pachuca,0.7,0.5,54.0,,José Corona,4-1-3-2,Adonai Escobedo,Match Report,,15,3,22.1,1.0,0,0,2021,Cruz Azul
9,2020-09-13,19:06,Liga MX,Guardianes 2020 Regular Season,Sun,Away,W,2,1,Tijuana,0.8,2.0,49.0,,José Corona,4-1-3-2,Oscar Mejia,Match Report,,13,4,19.8,0.0,0,0,2021,Cruz Azul
