,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
6,2022-06-05,19:30,Primera Div,Matchweek 1,Sun,Home,W,2,1,Arsenal,,,63,,Carlos Izquierdoz,4-3-3,Fernando Espinoza,Match Report,,17,8,,,0,0,2022,Boca Juniors
7,2022-06-12,20:30,Primera Div,Matchweek 2,Sun,Away,L,0,1,CC Córdoba,,,70,,Carlos Izquierdoz,4-1-4-1,Pablo Echavarría,Match Report,,18,2,,,0,0,2022,Boca Juniors
8,2022-06-15,21:30,Primera Div,Matchweek 3,Wed,Home,W,5,3,Tigre,,,49,,Marcos Rojo,4-1-4-1,Jorge Baliño,Match Report,,9,6,,,0,0,2022,Boca Juniors
9,2022-06-19,21:30,Primera Div,Matchweek 4,Sun,Away,W,3,1,Barracas Central,,,79,,Carlos Izquierdoz,4-1-4-1,Patricio Loustau,Match Report,,14,7,,,0,0,2022,Boca Juniors
10,2022-06-24,21:30,Primera Div,Matchweek 5,Fri,Home,L,1,2,CA Unión,,,71,,Frank Fabra,4-3-1-2,Yael Falcón,Match Report,,11,4,,,1,1,2022,Boca Juniors
12,2022-07-01,21:30,Primera Div,Matchweek 6,Fri,Home,L,0,3,Banfield,,,66,,Javier Hernán García,4-3-1-2,Darío Herrera,Match Report,,13,5,,,0,0,2022,Boca Juniors
14,2022-07-09,15:30,Primera Div,Matchweek 7,Sat,Away,L,1,2,San Lorenzo,,,70,,Marcos Rojo,4-1-3-2,Fernando Espinoza,Match Report,,9,2,,,0,0,2022,Boca Juniors
15,2022-07-16,20:30,Primera Div,Matchweek 8,Sat,Home,W,1,0,Talleres,,,62,,Marcos Rojo,4-3-3,Pablo Dóvalo,Match Report,,14,2,,,1,2,2022,Boca Juniors
16,2022-07-19,21:30,Primera Div,Matchweek 9,Tue,Away,L,0,2,Argentinos Jun,,,63,,Marcos Rojo,4-4-2,Fernando Rapallini,Match Report,,6,1,,,0,0,2022,Boca Juniors
17,2022-07-24,20:30,Primera Div,Matchweek 10,Sun,Home,W,3,1,Estudiantes,,,55,,Marcos Rojo,4-3-3,Hernán Mastrángelo,Match Report,,20,6,,,0,0,2022,Boca Juniors
18,2022-07-31,18:00,Primera Div,Matchweek 11,Sun,Away,L,0,3,Patronato,,,60,,Frank Fabra,4-3-3,Facundo Tello,Match Report,,18,8,,,0,0,2022,Boca Juniors
19,2022-08-06,21:00,Primera Div,Matchweek 12,Sat,Home,W,2,1,Platense,,,56,,Guillermo Matías Fernández,4-3-3,Yael Falcón,Match Report,,20,6,,,0,0,2022,Boca Juniors
20,2022-08-14,20:30,Primera Div,Matchweek 13,Sun,Away,D,0,0,Racing Club,,,34,,Frank Fabra,4-3-1-2,Fernando Rapallini,Match Report,,14,7,,,0,0,2022,Boca Juniors
21,2022-08-17,21:30,Primera Div,Matchweek 14,Wed,Home,D,0,0,Rosario Cent,,,67,,Frank Fabra,4-3-3,Pablo Echavarría,Match Report,,11,3,,,0,1,2022,Boca Juniors
22,2022-08-21,20:30,Primera Div,Matchweek 15,Sun,Away,W,1,0,Defensa y Just,,,48,,Guillermo Matías Fernández,4-3-3,Silvio Trucco,Match Report,,6,2,,,0,0,2022,Boca Juniors
23,2022-08-28,18:00,Primera Div,Matchweek 16,Sun,Home,W,2,1,Tucumán,,,71,,Frank Fabra,4-3-3,Fernando Espinoza,Match Report,,13,4,,,0,0,2022,Boca Juniors
24,2022-09-04,18:00,Primera Div,Matchweek 17,Sun,Away,W,2,1,Colón,,,55,,Marcos Rojo,4-3-3,Hernán Mastrángelo,Match Report,,9,7,,,0,0,2022,Boca Juniors
25,2022-09-11,17:00,Primera Div,Matchweek 18,Sun,Home,W,1,0,River Plate,,,39,,Marcos Rojo,4-1-2-1-2◆,Darío Herrera,Match Report,,10,2,,,0,0,2022,Boca Juniors
26,2022-09-14,21:30,Primera Div,Matchweek 19,Wed,Away,W,1,0,Lanús,,,63,,Frank Fabra,4-1-2-1-2◆,Facundo Tello,Match Report,,5,2,,,0,0,2022,Boca Juniors
27,2022-09-19,19:00,Primera Div,Matchweek 20,Mon,Home,D,0,0,CA Huracán,,,58,,Frank Fabra,4-1-2-1-2◆,Yael Falcón,Match Report,,9,2,,,0,0,2022,Boca Juniors
