,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
0,2016-08-28,20:00,Primera Div,Matchweek 1,Sun,Away,L,0,1,Lanús,50.0,,Carlos Tevez,4-2-3-1,Diego Abal,Match Report,,14.0,3.0,,0,0,2017,Boca Juniors
1,2016-09-11,18:00,Primera Div,Matchweek 2,Sun,Home,W,3,0,Belgrano,48.0,,Carlos Tevez,4-2-3-1,Germán Delfino,Match Report,,13.0,7.0,,0,0,2017,Boca Juniors
2,2016-09-18,16:00,Primera Div,Matchweek 3,Sun,Away,D,1,1,Godoy Cruz,53.0,,Pablo Pérez,4-2-3-1,Patricio Loustau,Match Report,,14.0,1.0,,0,0,2017,Boca Juniors
3,2016-09-25,18:00,Primera Div,Matchweek 4,Sun,Home,W,4,1,Quilmes,69.0,,Pablo Pérez,4-2-3-1,Néstor Pitana,Match Report,,15.0,4.0,,0,0,2017,Boca Juniors
4,2016-10-02,20:00,Primera Div,Matchweek 5,Sun,Away,D,1,1,Tigre,64.0,,Pablo Pérez,4-2-3-1,Federico Beligoy,Match Report,,19.0,5.0,,0,0,2017,Boca Juniors
5,2016-10-16,16:00,Primera Div,Matchweek 6,Sun,Home,W,2,0,Sarmiento,69.0,,Pablo Pérez,4-2-3-1,Fernando Echenique,Match Report,,21.0,7.0,,0,0,2017,Boca Juniors
6,2016-10-23,20:00,Primera Div,Matchweek 7,Sun,Away,D,2,2,Tucumán,53.0,,Pablo Pérez,4-3-3,Diego Abal,Match Report,,10.0,4.0,,0,0,2017,Boca Juniors
7,2016-10-29,16:00,Primera Div,Matchweek 8,Sat,Home,W,4,0,Temperley,55.0,,Pablo Pérez,4-2-3-1,Saúl Laverni,Match Report,,12.0,6.0,,0,0,2017,Boca Juniors
8,2016-11-06,20:00,Primera Div,Matchweek 9,Sun,Away,W,3,0,Gimnasia ELP,60.0,,Pablo Pérez,4-2-3-1,Jorge Baliño,Match Report,,14.0,4.0,,0,0,2017,Boca Juniors
9,2016-11-20,18:30,Primera Div,Matchweek 10,Sun,Home,D,1,1,Rosario Cent,51.0,,Pablo Pérez,4-2-3-1,Darío Herrera,Match Report,,15.0,4.0,,0,0,2017,Boca Juniors
10,2016-11-27,18:30,Primera Div,Matchweek 11,Sun,Away,W,2,1,San Lorenzo,47.0,,Fernando Gago,4-3-1-2,Fernando Espinoza,Match Report,,12.0,6.0,,0,0,2017,Boca Juniors
11,2016-12-04,18:00,Primera Div,Matchweek 12,Sun,Home,W,4,2,Racing Club,55.0,,Fernando Gago,4-3-1-2,Patricio Loustau,Match Report,,15.0,9.0,,0,0,2017,Boca Juniors
12,2016-12-11,17:00,Primera Div,Matchweek 13,Sun,Away,W,4,2,River Plate,45.0,,Fernando Gago,4-3-1-2,Diego Abal,Match Report,,14.0,6.0,,0,0,2017,Boca Juniors
13,2016-12-18,18:30,Primera Div,Matchweek 14,Sun,Home,W,4,1,Colón,62.0,,Carlos Tevez,4-2-3-1,Saúl Laverni,Match Report,,18.0,10.0,,0,0,2017,Boca Juniors
14,2017-03-11,19:10,Primera Div,Matchweek 15,Sat,Away,W,2,0,Banfield,54.0,,Fernando Gago,4-3-3,Darío Herrera,Match Report,,6.0,3.0,,0,0,2017,Boca Juniors
15,2017-03-19,19:30,Primera Div,Matchweek 16,Sun,Home,L,1,2,Talleres,55.0,,Fernando Gago,4-3-3,Ariel Penel,Match Report,,17.0,6.0,,0,0,2017,Boca Juniors
16,2017-03-26,16:30,Primera Div,Matchweek 17,Sun,Away,W,2,1,San Martín SJ,58.0,,Fernando Gago,4-3-3,Fernando Espinoza,Match Report,,15.0,5.0,,0,0,2017,Boca Juniors
17,2017-04-01,20:00,Primera Div,Matchweek 18,Sat,Home,W,1,0,Defensa y Just,57.0,,Pablo Pérez,4-3-3,Juan Pompei,Match Report,,13.0,2.0,,0,0,2017,Boca Juniors
18,2017-04-09,20:15,Primera Div,Matchweek 19,Sun,Away,W,3,1,Vélez Sarsf,65.0,,Pablo Pérez,4-3-3,Patricio Loustau,Match Report,,11.0,6.0,,0,0,2017,Boca Juniors
19,2017-04-16,18:15,Primera Div,Matchweek 20,Sun,Home,D,1,1,Patronato,66.0,,Pablo Pérez,4-3-3,Germán Delfino,Match Report,,20.0,5.0,,0,0,2017,Boca Juniors
20,2017-04-23,16:15,Primera Div,Matchweek 21,Sun,Away,D,0,0,Rafaela,56.0,,Pablo Pérez,4-3-3,Facundo Tello,Match Report,,9.0,4.0,,0,0,2017,Boca Juniors
21,2017-04-30,19:10,Primera Div,Matchweek 22,Sun,Home,W,3,0,Arsenal,64.0,,Fernando Gago,4-3-1-2,Darío Herrera,Match Report,,14.0,4.0,,0,0,2017,Boca Juniors
22,2017-05-06,20:15,Primera Div,Matchweek 23,Sat,Away,D,0,0,Estudiantes,49.0,,Fernando Gago,4-3-3,Silvio Trucco,Match Report,,8.0,2.0,,0,0,2017,Boca Juniors
23,2017-05-14,17:00,Primera Div,Matchweek 24,Sun,Home,L,1,3,River Plate,59.0,,Fernando Gago,4-3-3,Patricio Loustau,Match Report,,18.0,4.0,,0,0,2017,Boca Juniors
24,2017-05-20,18:00,Primera Div,Matchweek 25,Sat,Home,W,1,0,Newell's OB,48.0,,Fernando Gago,4-1-4-1,Germán Delfino,Match Report,,11.0,3.0,,0,0,2017,Boca Juniors
25,2017-05-27,19:30,Primera Div,Matchweek 26,Sat,Away,D,1,1,CA Huracán,54.0,,Fernando Gago,4-1-4-1,Darío Herrera,Match Report,,7.0,2.0,,0,0,2017,Boca Juniors
26,2017-06-04,19:00,Primera Div,Matchweek 27,Sun,Home,W,3,0,Independiente,46.0,,Fernando Gago,4-3-3,Fernando Rapallini,Match Report,,15.0,6.0,,1,1,2017,Boca Juniors
27,2017-06-17,17:45,Primera Div,Matchweek 28,Sat,Away,W,4,0,Aldosivi,62.0,,Fernando Gago,4-3-3,Patricio Loustau,Match Report,,17.0,10.0,,1,1,2017,Boca Juniors
28,2017-06-21,19:45,Primera Div,Matchweek 29,Wed,Away,D,2,2,Club Olimpo,60.0,,Fernando Gago,4-3-3,Federico Beligoy,Match Report,,15.0,7.0,,0,0,2017,Boca Juniors
29,2017-06-25,16:15,Primera Div,Matchweek 30,Sun,Home,W,2,1,CA Unión,59.0,,Fernando Gago,4-3-3,Mauro Vigliano,Match Report,,14.0,5.0,,0,0,2017,Boca Juniors
0,2016-08-28,18:00,Primera Div,Matchweek 1,Sun,Home,W,4,1,Banfield,71.0,,Leonardo Ponzio,4-2-2-2,Fernando Rapallini,Match Report,,11.0,7.0,,0,0,2017,River Plate
1,2016-09-11,20:00,Primera Div,Matchweek 2,Sun,Away,W,1,0,Talleres,62.0,,Leonardo Ponzio,4-2-2-2,Néstor Pitana,Match Report,,11.0,6.0,,0,0,2017,River Plate
2,2016-09-18,18:00,Primera Div,Matchweek 3,Sun,Home,D,1,1,San Martín SJ,61.0,,Leonardo Ponzio,4-2-2-2,Mauro Vigliano,Match Report,,11.0,4.0,,0,0,2017,River Plate
3,2016-09-25,20:00,Primera Div,Matchweek 4,Sun,Away,D,3,3,Defensa y Just,58.0,,Leonardo Ponzio,4-2-2-2,Diego Abal,Match Report,,8.0,5.0,,0,0,2017,River Plate
4,2016-10-01,20:00,Primera Div,Matchweek 5,Sat,Home,W,3,0,Vélez Sarsf,74.0,,Leonardo Ponzio,4-2-2-2,Fernando Rapallini,Match Report,,16.0,6.0,,1,1,2017,River Plate
5,2016-10-16,20:00,Primera Div,Matchweek 6,Sun,Away,L,1,2,Patronato,62.0,,Leonardo Ponzio,4-2-2-2,Mauro Vigliano,Match Report,,14.0,4.0,,0,0,2017,River Plate
6,2016-10-22,20:00,Primera Div,Matchweek 7,Sat,Home,W,1,0,Rafaela,68.0,,Leonardo Ponzio,4-2-2-2,Germán Delfino,Match Report,,4.0,2.0,,0,0,2017,River Plate
7,2016-10-30,20:00,Primera Div,Matchweek 8,Sun,Away,D,2,2,Arsenal,44.0,,Leonardo Ponzio,4-2-2-2,Jorge Baliño,Match Report,,13.0,7.0,,0,0,2017,River Plate
8,2016-11-05,16:00,Primera Div,Matchweek 9,Sat,Home,D,1,1,Estudiantes,58.0,,Leonardo Ponzio,4-2-2-2,Diego Abal,Match Report,,14.0,3.0,,1,1,2017,River Plate
9,2016-11-20,20:00,Primera Div,Matchweek 10,Sun,Away,L,0,1,Newell's OB,63.0,,Andrés D'Alessandro,4-2-2-2,Silvio Trucco,Match Report,,5.0,2.0,,0,0,2017,River Plate
10,2016-11-27,17:00,Primera Div,Matchweek 11,Sun,Home,W,1,0,CA Huracán,61.0,,Leonardo Ponzio,4-2-2-2,Fernando Rapallini,Match Report,,14.0,5.0,,0,0,2017,River Plate
11,2016-12-04,20:10,Primera Div,Matchweek 12,Sun,Away,L,0,1,Independiente,50.0,,Rodrigo Mora,4-2-3-1,Mauro Vigliano,Match Report,,10.0,2.0,,0,0,2017,River Plate
12,2016-12-11,17:00,Primera Div,Matchweek 13,Sun,Home,L,2,4,Boca Juniors,55.0,,Leonardo Ponzio,4-2-3-1,Diego Abal,Match Report,,22.0,7.0,,0,0,2017,River Plate
13,2016-12-18,20:00,Primera Div,Matchweek 14,Sun,Away,W,2,1,Club Olimpo,66.0,,Jonatan Maidana,4-2-2-2,Jorge Baliño,Match Report,,13.0,7.0,,1,1,2017,River Plate
14,2017-03-12,19:10,Primera Div,Matchweek 15,Sun,Home,D,0,0,CA Unión,63.0,,Rodrigo Mora,4-2-3-1,Germán Delfino,Match Report,,12.0,2.0,,0,0,2017,River Plate
15,2017-03-21,21:15,Primera Div,Matchweek 16,Tue,Away,W,3,1,Lanús,53.0,,Leonardo Ponzio,4-1-3-2,Federico Beligoy,Match Report,,14.0,4.0,,0,0,2017,River Plate
16,2017-03-26,18:30,Primera Div,Matchweek 17,Sun,Home,W,2,1,Belgrano,70.0,,Leonardo Ponzio,4-1-3-2,Nicolás Lamolina,Match Report,,20.0,6.0,,0,0,2017,River Plate
17,2017-04-02,20:15,Primera Div,Matchweek 18,Sun,Away,W,2,1,Godoy Cruz,73.0,,Leonardo Ponzio,4-1-3-2,Patricio Loustau,Match Report,,17.0,8.0,,0,0,2017,River Plate
18,2017-04-09,18:15,Primera Div,Matchweek 19,Sun,Home,W,2,0,Quilmes,74.0,,Leonardo Ponzio,4-3-3,Fernando Rapallini,Match Report,,15.0,3.0,,0,0,2017,River Plate
19,2017-04-16,20:15,Primera Div,Matchweek 20,Sun,Away,W,2,0,Tigre,50.0,,Jonatan Maidana,4-2-2-2,Jorge Baliño,Match Report,,9.0,2.0,,0,0,2017,River Plate
20,2017-04-23,18:15,Primera Div,Matchweek 21,Sun,Home,D,1,1,Sarmiento,66.0,,Leonardo Ponzio,4-3-3,Fernando Espinoza,Match Report,,23.0,8.0,,0,0,2017,River Plate
21,2017-05-06,20:15,Primera Div,Matchweek 23,Sat,Home,W,4,1,Temperley,59.0,,Leonardo Ponzio,4-3-3,Fernando Echenique,Match Report,,17.0,8.0,,1,1,2017,River Plate
22,2017-05-14,17:00,Primera Div,Matchweek 24,Sun,Away,W,3,1,Boca Juniors,41.0,,Leonardo Ponzio,4-2-2-2,Patricio Loustau,Match Report,,11.0,4.0,,0,0,2017,River Plate
23,2017-05-22,21:15,Primera Div,Matchweek 25,Mon,Away,W,3,0,Gimnasia ELP,55.0,,Leonardo Ponzio,4-3-3,Federico Beligoy,Match Report,,11.0,5.0,,0,0,2017,River Plate
24,2017-05-28,18:15,Primera Div,Matchweek 26,Sun,Home,D,0,0,Rosario Cent,52.0,,Leonardo Ponzio,4-3-3,Fernando Rapallini,Match Report,,8.0,3.0,,0,0,2017,River Plate
25,2017-05-31,20:15,Primera Div,Matchweek 22,Wed,Away,W,3,0,Tucumán,59.0,,Leonardo Ponzio,4-3-3,Germán Delfino,Match Report,,16.0,6.0,,0,0,2017,River Plate
26,2017-06-04,14:00,Primera Div,Matchweek 27,Sun,Away,L,1,2,San Lorenzo,58.0,,Leonardo Ponzio,4-2-2-2,Darío Herrera,Match Report,,14.0,5.0,,1,1,2017,River Plate
27,2017-06-18,17:15,Primera Div,Matchweek 28,Sun,Home,L,2,3,Racing Club,66.0,,Leonardo Ponzio,4-3-3,Diego Abal,Match Report,,16.0,4.0,,0,0,2017,River Plate
28,2017-06-21,21:30,Primera Div,Matchweek 29,Wed,Home,W,1,0,Aldosivi,72.0,,Leonardo Ponzio,4-3-3,Mauro Vigliano,Match Report,,16.0,7.0,,0,0,2017,River Plate
29,2017-06-25,20:00,Primera Div,Matchweek 30,Sun,Away,D,0,0,Colón,61.0,,Gonzalo Nicolás Martínez,4-3-1-2,Jorge Baliño,Match Report,,11.0,4.0,,0,0,2017,River Plate
0,2016-08-28,14:00,Primera Div,Matchweek 1,Sun,Away,W,3,0,Tigre,62.0,,Mariano Andújar,4-2-3-1,Darío Herrera,Match Report,,12.0,7.0,,0,0,2017,Estudiantes
1,2016-09-11,16:15,Primera Div,Matchweek 2,Sun,Home,W,1,0,Sarmiento,65.0,,Mariano Andújar,4-2-3-1,Diego Abal,Match Report,,11.0,5.0,,0,0,2017,Estudiantes
2,2016-09-18,14:00,Primera Div,Matchweek 3,Sun,Away,W,2,0,Tucumán,50.0,,Mariano Andújar,4-2-2-2,Silvio Trucco,Match Report,,8.0,2.0,,0,0,2017,Estudiantes
3,2016-09-25,14:00,Primera Div,Matchweek 4,Sun,Home,W,3,0,Temperley,50.0,,Leandro Desábato,4-2-2-2,Federico Beligoy,Match Report,,12.0,5.0,,0,0,2017,Estudiantes
4,2016-10-02,16:00,Primera Div,Matchweek 5,Sun,Away,D,0,0,Gimnasia ELP,56.0,,Leandro Desábato,4-2-2-2,Darío Herrera,Match Report,,10.0,2.0,,0,0,2017,Estudiantes
5,2016-10-15,18:00,Primera Div,Matchweek 6,Sat,Home,W,3,2,Rosario Cent,48.0,,Leandro Desábato,4-2-3-1,Diego Abal,Match Report,,21.0,9.0,,1,1,2017,Estudiantes
