,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
39,2017-02-11,20:00,Ligue 1,Matchweek 25,Sat,Home,W,5,0,Metz,62.0,6069.0,Radamel Falcao,4-4-2,Olivier Thual,Match Report,,26.0,13.0,,0.0,0.0,2017,Monaco
40,2017-02-17,20:45,Ligue 1,Matchweek 26,Fri,Away,D,1,1,Bastia,65.0,10059.0,Radamel Falcao,4-4-2,Clément Turpin,Match Report,,16.0,4.0,,0.0,0.0,2017,Monaco
42,2017-02-25,17:00,Ligue 1,Matchweek 27,Sat,Away,W,2,1,Guingamp,44.0,15912.0,Radamel Falcao,4-4-2,Amaury Delerue,Match Report,,14.0,5.0,,1.0,1.0,2017,Monaco
44,2017-03-05,21:00,Ligue 1,Matchweek 28,Sun,Home,W,4,0,Nantes,48.0,7649.0,Valère Germain,4-4-2,Mikael Lesage,Match Report,,13.0,7.0,,1.0,1.0,2017,Monaco
45,2017-03-11,16:45,Ligue 1,Matchweek 29,Sat,Home,W,2,1,Bordeaux,63.0,11009.0,Valère Germain,4-4-2,Ruddy Buquet,Match Report,,11.0,6.0,,0.0,0.0,2017,Monaco
47,2017-03-19,15:00,Ligue 1,Matchweek 30,Sun,Away,W,3,0,Caen,48.0,19399.0,Valère Germain,4-4-2,Antony Gautier,Match Report,,17.0,7.0,,1.0,1.0,2017,Monaco
50,2017-04-08,17:00,Ligue 1,Matchweek 32,Sat,Away,W,1,0,Angers,45.0,15235.0,Radamel Falcao,4-4-2,Bartolomeu Varela,Match Report,,11.0,6.0,,0.0,0.0,2017,Monaco
52,2017-04-15,21:00,Ligue 1,Matchweek 33,Sat,Home,W,2,1,Dijon,56.0,9069.0,Valère Germain,4-4-2,Jérôme Miguelgorry,Match Report,,20.0,7.0,,0.0,0.0,2017,Monaco
54,2017-04-23,21:15,Ligue 1,Matchweek 34,Sun,Away,W,2,1,Lyon,46.0,44411.0,Radamel Falcao,4-4-2,Benoît Bastien,Match Report,,14.0,6.0,,0.0,0.0,2017,Monaco
56,2017-04-29,17:00,Ligue 1,Matchweek 35,Sat,Home,W,3,1,Toulouse,66.0,9169.0,Kamil Glik,4-4-2,Mikael Lesage,Match Report,,28.0,11.0,,0.0,0.0,2017,Monaco
58,2017-05-06,20:00,Ligue 1,Matchweek 36,Sat,Away,W,3,0,Nancy,53.0,19519.0,Radamel Falcao,4-4-2,Ruddy Buquet,Match Report,,18.0,8.0,,0.0,0.0,2017,Monaco
60,2017-05-14,21:00,Ligue 1,Matchweek 37,Sun,Home,W,4,0,Lille,42.0,13152.0,Radamel Falcao,4-4-2,Benoît Bastien,Match Report,,11.0,3.0,,0.0,0.0,2017,Monaco
61,2017-05-17,21:00,Ligue 1,Matchweek 31,Wed,Home,W,2,0,Saint-Étienne,63.0,14299.0,Radamel Falcao,4-4-2,Clément Turpin,Match Report,,14.0,5.0,,0.0,0.0,2017,Monaco
62,2017-05-20,21:00,Ligue 1,Matchweek 38,Sat,Away,W,3,2,Rennes,49.0,26565.0,Valère Germain,4-3-3,Saïd Ennjimi,Match Report,,23.0,12.0,,0.0,0.0,2017,Monaco
1,2016-08-12,20:00,Ligue 1,Matchweek 1,Fri,Away,W,1,0,Bastia,74.0,13122.0,Thiago Motta,4-2-3-1,Franck Schneider,Match Report,,9.0,6.0,,0.0,0.0,2017,Paris Saint Germain
2,2016-08-21,20:45,Ligue 1,Matchweek 2,Sun,Home,W,3,0,Metz,67.0,46011.0,Thiago Motta,4-3-3,François Letexier,Match Report,,28.0,8.0,,0.0,0.0,2017,Paris Saint Germain
3,2016-08-28,20:45,Ligue 1,Matchweek 3,Sun,Away,L,1,3,Monaco,66.0,15219.0,Thiago Motta,4-3-3,Ruddy Buquet,Match Report,,6.0,1.0,,0.0,0.0,2017,Paris Saint Germain
4,2016-09-09,20:45,Ligue 1,Matchweek 4,Fri,Home,D,1,1,Saint-Étienne,61.0,44327.0,Thiago Motta,4-3-3,Benoît Bastien,Match Report,,15.0,4.0,,1.0,1.0,2017,Paris Saint Germain
6,2016-09-16,20:45,Ligue 1,Matchweek 5,Fri,Away,W,6,0,Caen,67.0,740.0,Blaise Matuidi,4-3-3,Clément Turpin,Match Report,,21.0,9.0,,1.0,1.0,2017,Paris Saint Germain
7,2016-09-20,21:00,Ligue 1,Matchweek 6,Tue,Home,W,3,0,Dijon,57.0,42484.0,Thiago Silva,4-3-3,Olivier Thual,Match Report,,8.0,4.0,,1.0,1.0,2017,Paris Saint Germain
8,2016-09-23,20:45,Ligue 1,Matchweek 7,Fri,Away,L,0,2,Toulouse,71.0,28682.0,Thiago Silva,4-3-3,Franck Schneider,Match Report,,12.0,3.0,,0.0,0.0,2017,Paris Saint Germain
10,2016-10-01,17:00,Ligue 1,Matchweek 8,Sat,Home,W,2,0,Bordeaux,68.0,44949.0,Thiago Silva,4-3-3,Antony Gautier,Match Report,,14.0,7.0,,0.0,0.0,2017,Paris Saint Germain
11,2016-10-15,17:00,Ligue 1,Matchweek 9,Sat,Away,W,2,1,Nancy,63.0,19524.0,Thiago Silva,4-3-3,Mikael Lesage,Match Report,,7.0,3.0,,0.0,0.0,2017,Paris Saint Germain
13,2016-10-23,20:45,Ligue 1,Matchweek 10,Sun,Home,D,0,0,Marseille,70.0,47929.0,Thiago Silva,4-3-3,Clément Turpin,Match Report,,17.0,3.0,,0.0,0.0,2017,Paris Saint Germain
14,2016-10-28,20:45,Ligue 1,Matchweek 11,Fri,Away,W,1,0,Lille,66.0,37213.0,Thiago Silva,4-3-3,Benoît Bastien,Match Report,,17.0,7.0,,0.0,0.0,2017,Paris Saint Germain
16,2016-11-06,20:45,Ligue 1,Matchweek 12,Sun,Home,W,4,0,Rennes,64.0,42002.0,Thiago Silva,4-3-3,Amaury Delerue,Match Report,,19.0,6.0,,0.0,0.0,2017,Paris Saint Germain
17,2016-11-19,17:00,Ligue 1,Matchweek 13,Sat,Home,W,2,0,Nantes,70.0,44258.0,Thiago Silva,4-3-3,François Letexier,Match Report,,10.0,5.0,,1.0,1.0,2017,Paris Saint Germain
19,2016-11-27,20:45,Ligue 1,Matchweek 14,Sun,Away,W,2,1,Lyon,55.0,55107.0,Thiago Silva,4-2-3-1,Ruddy Buquet,Match Report,,11.0,5.0,,1.0,1.0,2017,Paris Saint Germain
20,2016-11-30,21:00,Ligue 1,Matchweek 15,Wed,Home,W,2,0,Angers,60.0,40597.0,Thiago Silva,4-2-3-1,Franck Schneider,Match Report,,15.0,4.0,,1.0,1.0,2017,Paris Saint Germain
21,2016-12-03,17:00,Ligue 1,Matchweek 16,Sat,Away,L,0,3,Montpellier,67.0,17132.0,Thiago Silva,4-3-3,Bartolomeu Varela,Match Report,,10.0,3.0,,0.0,0.0,2017,Paris Saint Germain
23,2016-12-11,20:45,Ligue 1,Matchweek 17,Sun,Home,D,2,2,Nice,60.0,47665.0,Thiago Silva,4-3-3,Clément Turpin,Match Report,,21.0,9.0,,0.0,0.0,2017,Paris Saint Germain
25,2016-12-17,17:00,Ligue 1,Matchweek 18,Sat,Away,L,1,2,Guingamp,74.0,18033.0,Thiago Silva,4-3-3,Frédy Fautrel,Match Report,,15.0,7.0,,0.0,0.0,2017,Paris Saint Germain
26,2016-12-21,20:50,Ligue 1,Matchweek 19,Wed,Home,W,5,0,Lorient,63.0,44844.0,Thiago Silva,4-3-3,Johan Hamel,Match Report,,19.0,7.0,,1.0,1.0,2017,Paris Saint Germain
29,2017-01-14,17:00,Ligue 1,Matchweek 20,Sat,Away,W,1,0,Rennes,53.0,29054.0,Thiago Silva,4-3-3,Benoît Bastien,Match Report,,9.0,4.0,,0.0,0.0,2017,Paris Saint Germain
30,2017-01-21,17:00,Ligue 1,Matchweek 21,Sat,Away,W,2,0,Nantes,56.0,32858.0,Thiago Silva,4-3-3,Johan Hamel,Match Report,,15.0,5.0,,0.0,0.0,2017,Paris Saint Germain
32,2017-01-29,21:00,Ligue 1,Matchweek 22,Sun,Home,D,1,1,Monaco,55.0,47238.0,Thiago Silva,4-3-3,Franck Schneider,Match Report,,11.0,4.0,,1.0,1.0,2017,Paris Saint Germain
34,2017-02-04,20:00,Ligue 1,Matchweek 23,Sat,Away,W,3,1,Dijon,72.0,13416.0,Thiago Silva,4-3-3,Amaury Delerue,Match Report,,21.0,8.0,,0.0,0.0,2017,Paris Saint Germain
35,2017-02-07,21:00,Ligue 1,Matchweek 24,Tue,Home,W,2,1,Lille,77.0,42885.0,Thiago Silva,4-2-3-1,François Letexier,Match Report,,20.0,7.0,,0.0,0.0,2017,Paris Saint Germain
36,2017-02-10,20:45,Ligue 1,Matchweek 25,Fri,Away,W,3,0,Bordeaux,56.0,37823.0,Thiago Motta,4-3-3,Nicolas Rainville,Match Report,,8.0,5.0,,0.0,0.0,2017,Paris Saint Germain
38,2017-02-19,21:00,Ligue 1,Matchweek 26,Sun,Home,D,0,0,Toulouse,77.0,45492.0,Thiago Motta,4-3-3,Mikael Lesage,Match Report,,14.0,3.0,,0.0,0.0,2017,Paris Saint Germain
39,2017-02-26,21:00,Ligue 1,Matchweek 27,Sun,Away,W,5,1,Marseille,51.0,65252.0,Thiago Silva,4-3-3,Benoît Bastien,Match Report,,20.0,13.0,,0.0,0.0,2017,Paris Saint Germain
41,2017-03-04,17:00,Ligue 1,Matchweek 28,Sat,Home,W,1,0,Nancy,71.0,47032.0,Thiago Silva,4-3-3,Antony Gautier,Match Report,,23.0,7.0,,1.0,1.0,2017,Paris Saint Germain
