,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
2,2019-05-04,21:00,Série A,Matchweek 3,Sat,Home,L,1,2,Atlético Mineiro,0.8,1.1,47.0,16815.0,Tiago Alves,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,9,3,19.4,0,0,2019,Ceara
3,2019-05-11,21:00,Série A,Matchweek 4,Sat,Away,L,1,2,Goiás,1.1,2.3,62.0,9493.0,Tiago Alves,4-2-3-1,Caio Max Augusto Vieira,Match Report,,13,3,17.0,0,0,2019,Ceara
4,2019-05-19,19:00,Série A,Matchweek 5,Sun,Home,W,2,1,Grêmio,0.3,1.3,36.0,17506.0,Ricardo Dias Acosta,4-4-2,Igor Junior Benevenuto,Match Report,,6,1,22.8,0,0,2019,Ceara
5,2019-05-27,20:00,Série A,Matchweek 6,Mon,Away,W,2,1,Avaí,1.1,2.9,49.0,5543.0,Ricardo Dias Acosta,4-4-2,Rodrigo Carvalhaes de Miranda,Match Report,,9,4,15.1,0,0,2019,Ceara
6,2019-06-02,16:00,Série A,Matchweek 7,Sun,Home,L,0,1,Santos,0.8,1.2,40.0,50809.0,Samuel Xavier,4-4-2,Ricardo Marques Ribeiro,Match Report,,13,3,19.8,0,0,2019,Ceara
7,2019-06-08,19:30,Série A,Matchweek 8,Sat,Home,D,0,0,Bahia,1.7,0.6,62.0,15566.0,Ricardo Dias Acosta,4-2-3-1,Thiago Duarte Peixoto,Match Report,,22,5,22.3,0,0,2019,Ceara
8,2019-06-13,19:15,Série A,Matchweek 9,Thu,Away,L,0,1,Vasco da Gama,0.9,1.9,47.0,19584.0,Ricardo Dias Acosta,4-4-2,Flavio Rodrigues De Souza,Match Report,,8,1,21.8,0,0,2019,Ceara
9,2019-07-15,20:00,Série A,Matchweek 10,Mon,Away,D,1,1,Fluminense,0.7,2.2,30.0,23484.0,Ricardo Dias Acosta,4-1-4-1,Douglas Marques das Flores,Match Report,,9,5,22.4,0,0,2019,Ceara
10,2019-07-20,19:00,Série A,Matchweek 11,Sat,Home,W,2,0,Palmeiras,0.6,1.7,42.0,32287.0,Ricardo Dias Acosta,4-4-2,Rodrigo D'Alonso Ferreira,Match Report,,9,4,25.7,0,0,2019,Ceara
11,2019-07-27,19:00,Série A,Matchweek 12,Sat,Away,L,0,1,Internacional,0.5,1.3,46.0,11033.0,Ricardo Dias Acosta,4-4-2,Marcelo de Lima Henrique,Match Report,,9,2,21.7,0,0,2019,Ceara
12,2019-08-03,19:00,Série A,Matchweek 13,Sat,Home,W,2,1,Fortaleza,1.8,1.8,36.0,38421.0,Ricardo Dias Acosta,4-2-3-1,Heber Roberto Lopes,Match Report,,11,4,14.3,0,0,2019,Ceara
13,2019-08-10,17:00,Série A,Matchweek 14,Sat,Home,W,4,1,Chapecoense,1.2,1.1,40.0,21428.0,Ricardo Dias Acosta,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,,7,4,19.5,1,1,2019,Ceara
14,2019-08-18,16:00,Série A,Matchweek 15,Sun,Away,L,0,1,São Paulo,0.7,1.0,42.0,47705.0,Ricardo Dias Acosta,4-2-3-1,Gilberto Rodrigues Castro Junior,Match Report,,10,4,25.9,0,0,2019,Ceara
15,2019-08-25,19:00,Série A,Matchweek 16,Sun,Home,L,0,3,Flamengo,0.7,1.6,51.0,49986.0,Ricardo Dias Acosta,4-2-3-1,Wilton Sampaio,Match Report,,16,4,22.6,0,0,2019,Ceara
16,2019-08-31,19:00,Série A,Matchweek 17,Sat,Away,L,0,1,Ath Paranaense,0.4,1.0,32.0,10075.0,Tiago Alves,4-2-3-1,Leandro Pedro Vuaden,Match Report,,9,5,24.5,0,0,2019,Ceara
17,2019-09-07,11:00,Série A,Matchweek 18,Sat,Away,D,2,2,Corinthians,1.3,1.0,40.0,43230.0,Ricardo Dias Acosta,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,12,6,19.6,0,0,2019,Ceara
18,2019-09-14,21:00,Série A,Matchweek 19,Sat,Home,D,0,0,Botafogo (RJ),1.7,0.1,41.0,20906.0,Ricardo Dias Acosta,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,23,6,18.0,0,0,2019,Ceara
19,2019-09-22,16:00,Série A,Matchweek 20,Sun,Away,L,0,1,CSA,1.2,1.2,54.0,10566.0,Tiago Alves,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,23,9,21.7,0,0,2019,Ceara
20,2019-09-25,19:30,Série A,Matchweek 21,Wed,Home,D,0,0,Cruzeiro,2.0,1.7,47.0,18595.0,Ricardo Dias Acosta,4-2-3-1,Braulio da Silva Machado,Match Report,,19,8,19.8,0,0,2019,Ceara
21,2019-09-29,19:00,Série A,Matchweek 22,Sun,Away,L,1,2,Atlético Mineiro,1.1,2.2,38.0,6131.0,Ricardo Dias Acosta,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,7,0,24.0,1,1,2019,Ceara
22,2019-10-06,16:00,Série A,Matchweek 23,Sun,Home,L,0,1,Goiás,2.5,0.7,57.0,19071.0,Ricardo Dias Acosta,4-4-2,Jose Mendonca da Silva Junior,Match Report,,22,5,18.9,0,1,2019,Ceara
23,2019-10-09,21:00,Série A,Matchweek 24,Wed,Away,L,1,2,Grêmio,1.8,2.4,33.0,6078.0,Tiago Alves,4-2-3-1,Edina Alves Batista,Match Report,,10,5,17.9,0,0,2019,Ceara
24,2019-10-13,16:00,Série A,Matchweek 25,Sun,Home,W,1,0,Avaí,2.0,0.8,56.0,16892.0,Ricardo Dias Acosta,4-2-3-1,Marcelo de Lima Henrique,Match Report,,25,6,16.5,0,0,2019,Ceara
25,2019-10-17,19:15,Série A,Matchweek 26,Thu,Away,L,1,2,Santos,0.7,1.4,33.0,7804.0,Tiago Alves,4-4-1-1,Rafael Traci,Match Report,,11,3,20.4,0,0,2019,Ceara
26,2019-10-21,19:30,Série A,Matchweek 27,Mon,Away,W,2,1,Bahia,1.2,1.4,53.0,28415.0,Ricardo Dias Acosta,4-3-1-2,Luiz Flávio de Oliveira,Match Report,,13,6,17.1,0,0,2019,Ceara
27,2019-10-26,17:00,Série A,Matchweek 28,Sat,Home,D,1,1,Vasco da Gama,1.3,1.0,63.0,35178.0,Ricardo Dias Acosta,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,,17,4,19.3,0,0,2019,Ceara
28,2019-10-30,21:30,Série A,Matchweek 29,Wed,Home,W,2,0,Fluminense,1.9,1.4,29.0,19660.0,Ricardo Dias Acosta,4-4-2,Leandro Pedro Vuaden,Match Report,,10,5,20.1,0,0,2019,Ceara
29,2019-11-02,20:00,Série A,Matchweek 30,Sat,Away,L,0,1,Palmeiras,1.7,0.4,45.0,29019.0,Samuel Xavier,4-1-4-1,Felipe Fernandes de Lima,Match Report,,12,4,20.4,0,1,2019,Ceara
30,2019-11-07,19:30,Série A,Matchweek 31,Thu,Home,W,2,0,Internacional,1.4,1.2,41.0,19966.0,Ricardo Dias Acosta,4-4-2,Wilton Sampaio,Match Report,,9,4,16.5,0,0,2019,Ceara
31,2019-11-10,19:00,Série A,Matchweek 32,Sun,Away,L,0,1,Fortaleza,1.0,1.1,63.0,46093.0,Ricardo Dias Acosta,3-4-3,Flavio Rodrigues De Souza,Match Report,,15,3,21.7,0,0,2019,Ceara
32,2019-11-17,18:00,Série A,Matchweek 33,Sun,Away,L,0,1,Chapecoense,1.7,1.6,60.0,3431.0,Ricardo Dias Acosta,4-2-3-1,Rodolpho Toski Marques,Match Report,,15,6,18.7,0,0,2019,Ceara
33,2019-11-24,19:00,Série A,Matchweek 34,Sun,Home,D,1,1,São Paulo,1.6,1.2,49.0,29001.0,Ricardo Dias Acosta,4-1-4-1,Rafael Traci,Match Report,,18,6,18.3,0,0,2019,Ceara
34,2019-11-27,21:30,Série A,Matchweek 35,Wed,Away,L,1,4,Flamengo,1.0,4.4,34.0,67539.0,Ricardo Dias Acosta,4-5-1,Paulo Roberto Alves Júnior,Match Report,,5,1,18.5,0,0,2019,Ceara
35,2019-11-30,19:00,Série A,Matchweek 36,Sat,Home,D,1,1,Ath Paranaense,2.1,0.7,51.0,24262.0,Luiz Otávio,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,16,8,19.4,0,0,2019,Ceara
36,2019-12-04,19:30,Série A,Matchweek 37,Wed,Home,L,0,1,Corinthians,0.6,1.4,37.0,49200.0,Luiz Otávio,4-2-3-1,Rafael Traci,Match Report,,9,2,21.2,0,0,2019,Ceara
37,2019-12-08,16:00,Série A,Matchweek 38,Sun,Away,D,1,1,Botafogo (RJ),2.0,1.5,50.0,25900.0,Luiz Otávio,4-1-4-1,Luiz Flávio de Oliveira,Match Report,,13,1,18.0,1,1,2019,Ceara
5,2019-04-27,21:00,Série A,Matchweek 1,Sat,Away,L,1,3,Flamengo,0.4,2.5,42.0,35016.0,Henrique Pacheco Lima,4-2-3-1,Anderson Daronco,Match Report,,2,1,19.7,0,0,2019,Cruzeiro
6,2019-05-01,19:15,Série A,Matchweek 2,Wed,Home,W,1,0,Ceará,1.1,1.9,58.0,22677.0,Léo,4-2-3-1,Wagner Reway,Match Report,,11,4,18.0,0,0,2019,Cruzeiro
7,2019-05-05,16:00,Série A,Matchweek 3,Sun,Home,W,2,1,Goiás,1.3,1.2,61.0,19735.0,Henrique Pacheco Lima,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,,20,6,22.1,0,0,2019,Cruzeiro
9,2019-05-12,16:00,Série A,Matchweek 4,Sun,Away,L,1,3,Internacional,1.8,2.8,47.0,21483.0,Léo,4-2-3-1,Raphael Claus,Match Report,,14,6,19.9,0,0,2019,Cruzeiro
10,2019-05-18,18:00,Série A,Matchweek 5,Sat,Away,L,1,4,Fluminense,1.2,2.5,46.0,11437.0,Henrique Pacheco Lima,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,4,3,13.9,0,0,2019,Cruzeiro
11,2019-05-26,19:00,Série A,Matchweek 6,Sun,Home,L,1,2,Chapecoense,1.6,1.4,64.0,18039.0,Henrique Pacheco Lima,4-1-4-1,Dewson Fernando Freitas da Silva,Match Report,,18,2,21.4,0,0,2019,Cruzeiro
12,2019-06-02,16:00,Série A,Matchweek 7,Sun,Away,D,1,1,São Paulo,1.4,1.0,59.0,8517.0,Henrique Pacheco Lima,4-2-3-1,Braulio da Silva Machado,Match Report,,14,4,18.5,0,0,2019,Cruzeiro
13,2019-06-08,19:00,Série A,Matchweek 8,Sat,Home,D,0,0,Corinthians,1.2,0.4,46.0,21370.0,Henrique Pacheco Lima,4-2-3-1,Marcelo de Lima Henrique,Match Report,,25,7,19.8,0,0,2019,Cruzeiro
14,2019-06-12,21:00,Série A,Matchweek 9,Wed,Away,L,1,2,Fortaleza,0.5,1.6,54.0,17099.0,Henrique Pacheco Lima,4-2-3-1,Heber Roberto Lopes,Match Report,,12,4,21.8,0,0,2019,Cruzeiro
15,2019-07-14,16:00,Série A,Matchweek 10,Sun,Home,D,0,0,Botafogo (RJ),0.9,0.4,43.0,18012.0,Henrique Pacheco Lima,4-2-3-1,Leandro Pedro Vuaden,Match Report,,7,1,24.7,0,0,2019,Cruzeiro
16,2019-07-20,17:00,Série A,Matchweek 11,Sat,Away,D,0,0,Bahia,0.9,0.8,43.0,24864.0,Rafael Pires,4-3-3,Luiz Flávio de Oliveira,Match Report,,12,5,21.9,0,0,2019,Cruzeiro
18,2019-07-27,19:00,Série A,Matchweek 12,Sat,Home,L,0,2,Ath Paranaense,0.5,2.0,41.0,20689.0,Rafael Pires,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,,8,1,21.2,0,0,2019,Cruzeiro
20,2019-08-04,19:00,Série A,Matchweek 13,Sun,Away,L,0,2,Atlético Mineiro,0.5,1.4,62.0,13181.0,Henrique Pacheco Lima,4-2-3-1,Leandro Pedro Vuaden,Match Report,,14,4,22.6,0,0,2019,Cruzeiro
21,2019-08-11,16:00,Série A,Matchweek 14,Sun,Away,D,2,2,Avaí,1.6,2.0,50.0,4921.0,Henrique Pacheco Lima,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,14,6,22.7,0,0,2019,Cruzeiro
22,2019-08-18,16:00,Série A,Matchweek 15,Sun,Home,W,2,0,Santos,2.7,0.2,65.0,43604.0,Henrique Pacheco Lima,4-3-3,Anderson Daronco,Match Report,,21,9,21.5,0,0,2019,Cruzeiro
23,2019-08-25,19:00,Série A,Matchweek 16,Sun,Away,D,1,1,CSA,1.5,1.1,52.0,8715.0,Henrique Pacheco Lima,4-2-3-1,Marcelo de Lima Henrique,Match Report,,13,5,22.5,0,0,2019,Cruzeiro
24,2019-09-01,19:00,Série A,Matchweek 17,Sun,Home,W,1,0,Vasco da Gama,0.7,1.4,56.0,26052.0,Henrique Pacheco Lima,4-2-3-1,Heber Roberto Lopes,Match Report,,11,3,18.6,0,0,2019,Cruzeiro
25,2019-09-08,11:00,Série A,Matchweek 18,Sun,Home,L,1,4,Grêmio,1.8,2.2,52.0,14208.0,Henrique Pacheco Lima,4-2-3-1,Rafael Traci,Match Report,,18,7,22.9,1,1,2019,Cruzeiro
26,2019-09-14,19:00,Série A,Matchweek 19,Sat,Away,L,0,1,Palmeiras,0.6,0.6,43.0,35578.0,Henrique Pacheco Lima,4-2-3-1,Rodolpho Toski Marques,Match Report,,7,3,22.2,0,0,2019,Cruzeiro
27,2019-09-21,17:00,Série A,Matchweek 20,Sat,Home,L,1,2,Flamengo,1.4,2.6,42.0,40333.0,Henrique Pacheco Lima,4-2-3-1,Raphael Claus,Match Report,,8,2,23.4,1,1,2019,Cruzeiro
28,2019-09-25,19:30,Série A,Matchweek 21,Wed,Away,D,0,0,Ceará,1.7,2.0,53.0,18595.0,Henrique Pacheco Lima,4-1-4-1,Braulio da Silva Machado,Match Report,,14,3,17.5,0,0,2019,Cruzeiro
29,2019-09-30,20:00,Série A,Matchweek 22,Mon,Away,L,0,1,Goiás,1.0,0.8,65.0,24142.0,Henrique Pacheco Lima,4-2-3-1,Gilberto Rodrigues Castro Junior,Match Report,,11,1,21.7,0,0,2019,Cruzeiro
30,2019-10-05,21:00,Série A,Matchweek 23,Sat,Home,D,1,1,Internacional,2.0,1.0,53.0,22561.0,Fábio,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,15,4,21.0,1,1,2019,Cruzeiro
31,2019-10-09,21:30,Série A,Matchweek 24,Wed,Home,D,0,0,Fluminense,1.2,0.4,51.0,38113.0,Henrique Pacheco Lima,4-4-2,Jean Pierre Goncalves Lima,Match Report,,17,7,20.9,0,0,2019,Cruzeiro
32,2019-10-13,19:00,Série A,Matchweek 25,Sun,Away,D,1,1,Chapecoense,1.5,1.8,40.0,4399.0,Henrique Pacheco Lima,4-2-3-1,Caio Max Augusto Vieira,Match Report,,18,6,17.8,0,0,2019,Cruzeiro
33,2019-10-16,21:00,Série A,Matchweek 26,Wed,Home,W,1,0,São Paulo,0.6,0.6,41.0,30969.0,Henrique Pacheco Lima,4-2-3-1,Wilton Sampaio,Match Report,,11,2,24.5,0,0,2019,Cruzeiro
34,2019-10-19,19:00,Série A,Matchweek 27,Sat,Away,W,2,1,Corinthians,2.5,0.8,46.0,31631.0,Henrique Pacheco Lima,4-2-3-1,Bruno Arleu de Araujo,Match Report,,13,4,24.1,1,1,2019,Cruzeiro
35,2019-10-26,22:00,Série A,Matchweek 28,Sat,Home,D,1,1,Fortaleza,2.0,1.1,67.0,32268.0,Henrique Pacheco Lima,4-2-3-1,Raphael Claus,Match Report,,21,5,18.1,0,0,2019,Cruzeiro
36,2019-10-31,21:30,Série A,Matchweek 29,Thu,Away,W,2,0,Botafogo (RJ),0.5,1.7,44.0,20690.0,Henrique Pacheco Lima,4-2-3-1,Caio Max Augusto Vieira,Match Report,,6,3,15.1,0,0,2019,Cruzeiro
37,2019-11-03,20:00,Série A,Matchweek 30,Sun,Home,D,1,1,Bahia,1.7,1.4,63.0,21933.0,Henrique Pacheco Lima,4-2-3-1,Wagner Reway,Match Report,,17,5,19.8,0,0,2019,Cruzeiro
38,2019-11-06,21:30,Série A,Matchweek 31,Wed,Away,D,0,0,Ath Paranaense,0.5,2.0,35.0,11838.0,Henrique Pacheco Lima,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,11,3,20.6,0,0,2019,Cruzeiro
39,2019-11-10,17:00,Série A,Matchweek 32,Sun,Home,D,0,0,Atlético Mineiro,1.1,0.6,58.0,43205.0,Henrique Pacheco Lima,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,16,2,19.0,0,0,2019,Cruzeiro
40,2019-11-18,20:00,Série A,Matchweek 33,Mon,Home,D,0,0,Avaí,0.9,0.7,71.0,21217.0,Henrique Pacheco Lima,4-2-3-1,Diego Pombo Lopez,Match Report,,16,3,21.7,0,0,2019,Cruzeiro
41,2019-11-23,21:00,Série A,Matchweek 34,Sat,Away,L,1,4,Santos,0.5,2.3,44.0,7905.0,Henrique Pacheco Lima,4-1-4-1,Leandro Pedro Vuaden,Match Report,,9,2,21.4,0,0,2019,Cruzeiro
42,2019-11-28,21:30,Série A,Matchweek 35,Thu,Home,L,0,1,CSA,2.3,1.0,72.0,34920.0,Henrique Pacheco Lima,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,20,9,22.3,0,1,2019,Cruzeiro
43,2019-12-02,20:00,Série A,Matchweek 36,Mon,Away,L,0,1,Vasco da Gama,1.2,0.6,58.0,19796.0,Henrique Pacheco Lima,4-3-3,Wilton Sampaio,Match Report,,14,1,20.2,0,0,2019,Cruzeiro
44,2019-12-05,19:15,Série A,Matchweek 37,Thu,Away,L,0,2,Grêmio,1.3,1.7,38.0,18306.0,Henrique Pacheco Lima,4-1-4-1,André Luiz de Freitas Castro,Match Report,,13,2,21.7,0,0,2019,Cruzeiro
45,2019-12-08,16:00,Série A,Matchweek 38,Sun,Home,L,0,2,Palmeiras,0.5,0.9,57.0,24035.0,Henrique Pacheco Lima,4-3-3,Marcelo de Lima Henrique,Match Report,,9,3,20.6,0,0,2019,Cruzeiro
0,2019-04-28,16:00,Série A,Matchweek 1,Sun,Away,L,0,4,Ceará,0.6,1.8,46.0,12550.0,Didira,4-2-3-1,Adriano Milevski,Match Report,,6,1,20.1,0,0,2019,CSA
1,2019-05-01,16:00,Série A,Matchweek 2,Wed,Home,D,1,1,Palmeiras,0.1,0.1,,15735.0,Jordi Almeida,4-2-3-1,Caio Max Augusto Vieira,Match Report,,1,1,15.4,0,0,2019,CSA
2,2019-05-05,16:00,Série A,Matchweek 3,Sun,Home,D,0,0,Santos,1.2,1.6,29.0,10313.0,Didira,4-2-3-1,Rodolpho Toski Marques,Match Report,,10,3,20.4,0,0,2019,CSA
3,2019-05-12,19:00,Série A,Matchweek 4,Sun,Away,D,0,0,Avaí,0.6,0.8,40.0,4852.0,Didira,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,4,1,15.9,0,0,2019,CSA
4,2019-05-19,16:00,Série A,Matchweek 5,Sun,Away,L,0,2,Internacional,0.9,1.2,37.0,24220.0,Didira,4-2-3-1,Rodrigo Carvalhaes de Miranda,Match Report,,12,5,20.7,0,0,2019,CSA
5,2019-05-27,20:00,Série A,Matchweek 6,Mon,Home,W,1,0,Goiás,1.2,1.5,44.0,9128.0,Didira,4-2-3-1,Edina Alves Batista,Match Report,,16,4,23.8,0,0,2019,CSA
6,2019-06-02,19:00,Série A,Matchweek 7,Sun,Away,L,0,4,Atlético Mineiro,0.5,3.8,29.0,14116.0,Didira,4-2-3-1,Diego Pombo Lopez,Match Report,,12,0,20.9,0,0,2019,CSA
7,2019-06-09,19:00,Série A,Matchweek 8,Sun,Home,L,1,2,Botafogo (RJ),1.3,2.2,40.0,11602.0,Didira,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,21,5,18.0,0,0,2019,CSA
8,2019-06-12,21:30,Série A,Matchweek 9,Wed,Home,L,0,2,Flamengo,0.4,2.8,34.0,37673.0,Didira,4-1-4-1,Douglas Marques das Flores,Match Report,,10,2,19.8,0,0,2019,CSA
9,2019-07-14,16:00,Série A,Matchweek 10,Sun,Away,L,0,1,Corinthians,0.1,2.2,34.0,33952.0,Ricardo Bueno,4-2-2-2,Wagner Reway,Match Report,,4,1,28.3,0,0,2019,CSA
10,2019-07-20,19:00,Série A,Matchweek 11,Sat,Home,L,0,4,Ath Paranaense,0.5,1.5,52.0,7845.0,Jordi Almeida,4-3-1-2,Ricardo Marques Ribeiro,Match Report,,10,1,15.7,0,0,2019,CSA
11,2019-07-29,20:00,Série A,Matchweek 12,Mon,Home,D,0,0,Grêmio,0.5,1.4,40.0,11918.0,Didira,4-2-3-1,Caio Max Augusto Vieira,Match Report,,10,2,22.4,0,0,2019,CSA
12,2019-08-04,19:00,Série A,Matchweek 13,Sun,Away,D,0,0,Vasco da Gama,1.2,0.7,43.0,9631.0,Luciano Castán,4-2-3-1,Marielson Alves Silva,Match Report,,12,2,17.7,0,0,2019,CSA
13,2019-08-12,20:00,Série A,Matchweek 14,Mon,Home,L,0,2,Fortaleza,1.4,0.7,52.0,9924.0,Carlinhos,4-2-2-2,Gilberto Rodrigues Castro Junior,Match Report,,16,5,16.6,0,0,2019,CSA
14,2019-08-18,16:00,Série A,Matchweek 15,Sun,Away,W,1,0,Fluminense,0.2,2.4,33.0,25049.0,João Vitor,4-2-2-2,Wagner Reway,Match Report,,5,3,21.2,0,0,2019,CSA
15,2019-08-25,19:00,Série A,Matchweek 16,Sun,Home,D,1,1,Cruzeiro,1.1,1.5,48.0,8715.0,Jonathan David Gómez,4-1-2-1-2◆,Marcelo de Lima Henrique,Match Report,,18,3,21.4,0,0,2019,CSA
16,2019-08-31,17:00,Série A,Matchweek 17,Sat,Away,L,0,1,Bahia,0.3,1.9,34.0,32483.0,Jordi Almeida,4-4-2,Vinicius Gomes do Amaral,Match Report,,8,2,24.0,0,0,2019,CSA
17,2019-09-08,19:00,Série A,Matchweek 18,Sun,Home,W,2,0,Chapecoense,1.5,1.3,49.0,9311.0,Naldo,4-1-2-1-2◆,Vinicius Gonçalves Dias Araujo,Match Report,,9,3,20.8,0,1,2019,CSA
18,2019-09-15,19:00,Série A,Matchweek 19,Sun,Away,D,1,1,São Paulo,0.7,2.8,29.0,29779.0,Alecsandro,4-2-3-1,Heber Roberto Lopes,Match Report,,7,2,19.6,0,0,2019,CSA
19,2019-09-22,16:00,Série A,Matchweek 20,Sun,Home,W,1,0,Ceará,1.2,1.2,46.0,10566.0,Apodi,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,12,4,18.8,0,0,2019,CSA
20,2019-09-26,19:15,Série A,Matchweek 21,Thu,Away,L,2,6,Palmeiras,1.4,2.9,32.0,21537.0,Dawhan,4-2-3-1,Diego Pombo Lopez,Match Report,,11,4,20.6,0,0,2019,CSA
21,2019-09-29,16:00,Série A,Matchweek 22,Sun,Away,L,0,2,Santos,0.3,1.7,39.0,6615.0,Héctor Bustamante,4-2-2-2,Wagner do Nascimento Magalhaes,Match Report,,9,2,25.2,0,0,2019,CSA
22,2019-10-06,19:00,Série A,Matchweek 23,Sun,Home,W,3,1,Avaí,2.3,1.8,31.0,8346.0,Jonathan David Gómez,4-3-3,Anderson Daronco,Match Report,,14,5,20.5,1,1,2019,CSA
23,2019-10-09,19:15,Série A,Matchweek 24,Wed,Home,W,1,0,Internacional,1.3,1.0,31.0,9927.0,Jonathan David Gómez,4-2-3-1,Vinicius Furlan,Match Report,,13,3,22.4,1,1,2019,CSA
24,2019-10-12,17:00,Série A,Matchweek 25,Sat,Away,L,0,1,Goiás,0.6,0.9,50.0,8826.0,Jonathan David Gómez,4-2-3-1,Felipe Fernandes de Lima,Match Report,,8,2,19.1,0,0,2019,CSA
25,2019-10-16,19:15,Série A,Matchweek 26,Wed,Home,D,2,2,Atlético Mineiro,1.5,1.7,42.0,13075.0,Jonathan David Gómez,4-2-3-1,Savio Pereira,Match Report,,9,4,25.6,1,1,2019,CSA
26,2019-10-21,20:00,Série A,Matchweek 27,Mon,Away,L,1,2,Botafogo (RJ),1.1,1.6,57.0,18199.0,Jonathan David Gómez,4-1-4-1,Leandro Pedro Vuaden,Match Report,,7,2,25.1,1,1,2019,CSA
27,2019-10-27,20:00,Série A,Matchweek 28,Sun,Away,L,0,1,Flamengo,0.8,2.2,38.0,69846.0,João Carlos,4-1-4-1,Rodolpho Toski Marques,Match Report,,7,4,12.9,0,0,2019,CSA
28,2019-10-30,21:30,Série A,Matchweek 29,Wed,Home,W,2,1,Corinthians,0.7,0.6,44.0,15428.0,Apodi,4-2-3-1,Rafael Traci,Match Report,,10,5,21.4,0,0,2019,CSA
29,2019-11-03,19:00,Série A,Matchweek 30,Sun,Away,L,0,1,Ath Paranaense,0.3,2.6,35.0,10681.0,João Vitor,4-2-3-1,Savio Pereira,Match Report,,7,0,24.6,0,0,2019,CSA
30,2019-11-07,21:00,Série A,Matchweek 31,Thu,Away,L,1,2,Grêmio,0.7,1.7,35.0,11334.0,Didira,4-2-2-2,Jose Mendonca da Silva Junior,Match Report,,9,3,22.1,0,0,2019,CSA
31,2019-11-10,19:00,Série A,Matchweek 32,Sun,Home,L,0,3,Vasco da Gama,1.8,1.9,59.0,14690.0,Ricardo Bueno,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,,20,4,20.7,0,0,2019,CSA
32,2019-11-17,19:00,Série A,Matchweek 33,Sun,Away,L,0,3,Fortaleza,0.3,1.6,36.0,34231.0,Alan Costa,4-2-3-1,Anderson Daronco,Match Report,,8,2,22.3,0,0,2019,CSA
33,2019-11-25,20:00,Série A,Matchweek 34,Mon,Home,L,0,1,Fluminense,1.4,2.3,39.0,8916.0,João Vitor,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,18,4,19.8,0,0,2019,CSA
34,2019-11-28,21:30,Série A,Matchweek 35,Thu,Away,W,1,0,Cruzeiro,1.0,2.3,28.0,34920.0,Nílton,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,5,3,20.5,0,0,2019,CSA
35,2019-12-01,18:00,Série A,Matchweek 36,Sun,Home,L,1,2,Bahia,1.2,1.1,53.0,7371.0,Luciano Castán,4-2-3-1,Vinicius Furlan,Match Report,,13,4,18.3,0,0,2019,CSA
36,2019-12-04,21:00,Série A,Matchweek 37,Wed,Away,L,0,3,Chapecoense,0.8,1.7,45.0,2411.0,Nílton,4-2-3-1,Alexandre Vargas Tavares de Jesus,Match Report,,10,3,23.7,0,0,2019,CSA
37,2019-12-08,16:00,Série A,Matchweek 38,Sun,Home,L,1,2,São Paulo,1.3,1.1,43.0,7810.0,Ricardo Bueno,4-2-3-1,Alisson Sidnei Furtado,Match Report,,24,6,22.1,0,0,2019,CSA
2,2019-04-27,19:00,Série A,Matchweek 1,Sat,Home,W,2,0,Internacional,1.4,1.2,44.0,8231.0,Douglas,4-2-3-1,Raphael Claus,Match Report,,11,6,26.2,1,1,2019,Chapecoense
3,2019-05-01,16:00,Série A,Matchweek 2,Wed,Away,L,0,1,Corinthians,0.4,0.8,49.0,30442.0,Douglas,4-4-1-1,Ricardo Marques Ribeiro,Match Report,,10,1,26.0,0,0,2019,Chapecoense
4,2019-05-05,11:00,Série A,Matchweek 3,Sun,Home,D,1,1,Ath Paranaense,1.5,1.5,50.0,6433.0,Douglas,4-4-1-1,Vinicius Gonçalves Dias Araujo,Match Report,,16,5,19.9,0,0,2019,Chapecoense
5,2019-05-12,11:00,Série A,Matchweek 4,Sun,Away,L,1,2,Flamengo,1.3,2.9,44.0,61023.0,Douglas,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,20,7,20.5,0,0,2019,Chapecoense
