,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team
22,2017-08-05,19:00,Série A,Matchweek 19,Sat,Home,W,3,1,Sport Recife,44.0,4129.0,Fagner,4-2-3-1,Wagner Reway,Match Report,,10,4,,0,0,2017,Corinthians
23,2017-08-19,16:00,Série A,Matchweek 21,Sat,Home,L,0,1,Vitória,73.0,42075.0,Jô,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,16,5,,0,0,2017,Corinthians
24,2017-08-23,19:30,Série A,Matchweek 20,Wed,Away,W,1,0,Chapecoense,65.0,15831.0,Cássio,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,7,2,,0,0,2017,Corinthians
25,2017-08-26,19:00,Série A,Matchweek 22,Sat,Home,L,0,1,Atl Goianiense,68.0,40581.0,Fagner,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,31,7,,0,0,2017,Corinthians
26,2017-09-10,16:00,Série A,Matchweek 23,Sun,Away,L,0,2,Santos,56.0,12567.0,Jádson,4-2-3-1,Raphael Claus,Match Report,,14,4,,0,0,2017,Corinthians
28,2017-09-17,16:00,Série A,Matchweek 24,Sun,Home,W,1,0,Vasco da Gama,57.0,41235.0,Jô,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,17,4,,0,0,2017,Corinthians
30,2017-09-24,11:00,Série A,Matchweek 25,Sun,Away,D,1,1,São Paulo,52.0,61142.0,Pablo,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,11,2,,0,0,2017,Corinthians
31,2017-10-01,16:00,Série A,Matchweek 26,Sun,Away,D,1,1,Cruzeiro,58.0,15727.0,Cássio,4-2-3-1,Rodolpho Toski Marques,Match Report,,9,4,,1,1,2017,Corinthians
32,2017-10-11,21:00,Série A,Matchweek 27,Wed,Home,W,3,1,Coritiba,57.0,36439.0,Fabián Balbuena,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,,16,5,,0,0,2017,Corinthians
33,2017-10-15,18:00,Série A,Matchweek 28,Sun,Away,L,0,2,Bahia,53.0,23413.0,Fabián Balbuena,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,8,3,,0,0,2017,Corinthians
34,2017-10-18,21:45,Série A,Matchweek 29,Wed,Home,D,0,0,Grêmio,55.0,40008.0,Rodriguinho Marinho,4-2-3-1,Heber Roberto Lopes,Match Report,,7,0,,0,0,2017,Corinthians
35,2017-10-23,20:00,Série A,Matchweek 30,Mon,Away,L,1,2,Botafogo (RJ),62.0,8466.0,Cássio,4-2-3-1,Rodrigo Batista Raposo,Match Report,,8,3,,0,0,2017,Corinthians
36,2017-10-29,17:00,Série A,Matchweek 31,Sun,Away,L,0,1,Ponte Preta,68.0,13121.0,Cássio,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,18,8,,0,0,2017,Corinthians
37,2017-11-05,17:00,Série A,Matchweek 32,Sun,Home,W,3,2,Palmeiras,39.0,46090.0,Fabián Balbuena,4-2-3-1,Anderson Daronco,Match Report,,13,8,,1,1,2017,Corinthians
38,2017-11-08,21:00,Série A,Matchweek 33,Wed,Away,W,1,0,Ath Paranaense,38.0,18062.0,Fabián Balbuena,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,7,3,,0,0,2017,Corinthians
39,2017-11-11,19:00,Série A,Matchweek 34,Sat,Home,W,1,0,Avaí,66.0,42732.0,Fabián Balbuena,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,17,5,,0,0,2017,Corinthians
40,2017-11-15,21:45,Série A,Matchweek 35,Wed,Home,W,3,1,Fluminense,63.0,45775.0,Fagner,4-2-3-1,Braulio da Silva Machado,Match Report,,13,4,,0,0,2017,Corinthians
41,2017-11-19,17:00,Série A,Matchweek 36,Sun,Away,L,0,3,Flamengo,51.0,13491.0,Jô,4-2-3-1,Wagner Reway,Match Report,,14,6,,0,0,2017,Corinthians
42,2017-11-26,17:00,Série A,Matchweek 37,Sun,Home,D,2,2,Atlético Mineiro,57.0,46030.0,Cássio,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,19,5,,0,0,2017,Corinthians
43,2017-12-03,16:00,Série A,Matchweek 38,Sun,Away,L,0,1,Sport Recife,53.0,29977.0,Fabián Balbuena,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,8,4,,0,0,2017,Corinthians
5,2017-05-14,16:00,Série A,Matchweek 1,Sun,Home,W,4,0,Vasco da Gama,51.0,3325.0,Zé Roberto,4-3-3,Rodolpho Toski Marques,Match Report,,16,9,,2,2,2017,Palmeiras
6,2017-05-20,19:00,Série A,Matchweek 2,Sat,Away,L,0,1,Chapecoense,55.0,10323.0,Fernando Prass,4-3-3,André Luiz de Freitas Castro,Match Report,,6,1,,0,0,2017,Palmeiras
8,2017-05-27,19:00,Série A,Matchweek 3,Sat,Away,L,0,2,São Paulo,63.0,33288.0,Dudu,4-3-2-1,Anderson Daronco,Match Report,,10,1,,0,1,2017,Palmeiras
9,2017-06-04,16:00,Série A,Matchweek 4,Sun,Home,D,0,0,Atlético Mineiro,53.0,34240.0,Fernando Prass,4-3-3,Marcelo de Lima Henrique,Match Report,,15,6,,0,1,2017,Palmeiras
10,2017-06-07,19:30,Série A,Matchweek 5,Wed,Away,L,0,1,Coritiba,56.0,16648.0,Fernando Prass,4-4-2,Braulio da Silva Machado,Match Report,,13,5,,0,0,2017,Palmeiras
11,2017-06-10,16:00,Série A,Matchweek 6,Sat,Home,W,3,1,Fluminense,56.0,33066.0,Zé Roberto,4-1-4-1,André Luiz de Freitas Castro,Match Report,,16,6,,0,0,2017,Palmeiras
12,2017-06-14,21:45,Série A,Matchweek 7,Wed,Away,L,0,1,Santos,54.0,10143.0,Fernando Prass,4-3-3,Wilton Sampaio,Match Report,,16,6,,0,0,2017,Palmeiras
13,2017-06-18,16:00,Série A,Matchweek 8,Sun,Away,W,4,2,Bahia,38.0,33186.0,Fernando Prass,4-2-3-1,Rodolpho Toski Marques,Match Report,,16,6,,1,1,2017,Palmeiras
14,2017-06-21,21:00,Série A,Matchweek 9,Wed,Home,W,1,0,Atl Goianiense,68.0,29014.0,Fernando Prass,4-2-3-1,Antonio Dib Moraes de Sousa,Match Report,,12,4,,0,0,2017,Palmeiras
15,2017-06-25,16:00,Série A,Matchweek 10,Sun,Away,W,2,1,Ponte Preta,45.0,6051.0,Fernando Prass,4-1-4-1,Wagner Reway,Match Report,,6,2,,0,0,2017,Palmeiras
16,2017-07-01,16:00,Série A,Matchweek 11,Sat,Home,W,1,0,Grêmio,60.0,31395.0,Fernando Prass,4-3-3,Wagner do Nascimento Magalhaes,Match Report,,13,1,,0,0,2017,Palmeiras
18,2017-07-09,16:00,Série A,Matchweek 12,Sun,Away,L,1,3,Cruzeiro,62.0,19090.0,Dudu,4-3-3,Pericles Bassols Pegado Cortez,Match Report,,8,1,,0,0,2017,Palmeiras
19,2017-07-12,21:45,Série A,Matchweek 13,Wed,Home,L,0,2,Corinthians,61.0,39091.0,Fernando Prass,4-2-3-1,Leandro Pedro Vuaden,Match Report,,18,3,,0,0,2017,Palmeiras
20,2017-07-16,11:00,Série A,Matchweek 14,Sun,Home,W,4,2,Vitória,56.0,36263.0,Dudu,4-2-3-1,Bruno Arleu de Araujo,Match Report,,15,6,,1,1,2017,Palmeiras
21,2017-07-19,21:45,Série A,Matchweek 15,Wed,Away,D,2,2,Flamengo,38.0,15103.0,Dudu,4-3-3,Jailson Macêdo Freitas,Match Report,,7,5,,0,0,2017,Palmeiras
22,2017-07-23,16:00,Série A,Matchweek 16,Sun,Away,W,2,0,Sport Recife,38.0,37430.0,Jean,4-3-3,Eduardo Tomaz De Aquino Valadão,Match Report,,7,4,,0,0,2017,Palmeiras
23,2017-07-29,19:00,Série A,Matchweek 17,Sat,Home,W,2,0,Avaí,71.0,33633.0,Dudu,4-2-3-1,Anderson Daronco,Match Report,,15,3,,0,0,2017,Palmeiras
24,2017-08-02,21:45,Série A,Matchweek 18,Wed,Away,W,2,1,Botafogo (RJ),45.0,7517.0,Dudu,4-2-3-1,Rafael Traci,Match Report,,15,3,,0,0,2017,Palmeiras
25,2017-08-06,16:00,Série A,Matchweek 19,Sun,Home,L,0,1,Ath Paranaense,66.0,29779.0,Zé Roberto,4-2-3-1,Rodrigo Batista Raposo,Match Report,,20,3,,0,0,2017,Palmeiras
27,2017-08-13,16:00,Série A,Matchweek 20,Sun,Away,D,1,1,Vasco da Gama,59.0,5323.0,Fernando Prass,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,7,3,,0,0,2017,Palmeiras
28,2017-08-20,19:00,Série A,Matchweek 21,Sun,Home,L,0,2,Chapecoense,71.0,21261.0,Fernando Prass,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,13,3,,0,0,2017,Palmeiras
29,2017-08-27,16:00,Série A,Matchweek 22,Sun,Home,W,4,2,São Paulo,58.0,33537.0,Fernando Prass,4-1-2-1-2◆,Sandro Ricci,Match Report,,25,8,,0,0,2017,Palmeiras
