,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
6,2021-05-30,11:00,Série A,Matchweek 1,Sun,Home,L,1,2,Fortaleza,1.7,0.9,54,,Júnior Alonso,4-2-3-1,Caio Max Augusto Vieira,Match Report,,12,3,25.0,2.0,1,1,2021,Atletico Mineiro
7,2021-06-06,20:30,Série A,Matchweek 2,Sun,Away,W,1,0,Sport Recife,0.8,0.5,52,,Réver,4-2-3-1,Raphael Claus,Match Report,,10,1,19.2,1.0,0,0,2021,Atletico Mineiro
8,2021-06-13,16:00,Série A,Matchweek 3,Sun,Home,W,1,0,São Paulo,1.3,0.2,42,,Réver,4-2-3-1,Anderson Daronco,Match Report,,9,2,20.7,0.0,0,0,2021,Atletico Mineiro
9,2021-06-16,19:00,Série A,Matchweek 4,Wed,Away,W,1,0,Internacional,1.0,1.1,42,,Réver,4-1-4-1,Luiz Flávio de Oliveira,Match Report,,6,2,19.9,0.0,0,0,2021,Atletico Mineiro
10,2021-06-21,20:00,Série A,Matchweek 5,Mon,Home,D,1,1,Chapecoense,1.1,1.6,67,,Réver,4-3-3,Rodolpho Toski Marques,Match Report,,14,2,18.3,0.0,0,0,2021,Atletico Mineiro
11,2021-06-24,19:00,Série A,Matchweek 6,Thu,Away,L,1,2,Ceará,1.1,1.4,66,,Keno,4-1-4-1,Leandro Pedro Vuaden,Match Report,,16,6,20.2,1.0,0,0,2021,Atletico Mineiro
12,2021-06-27,20:30,Série A,Matchweek 7,Sun,Away,L,0,2,Santos,0.7,1.3,51,,Réver,4-1-4-1,Bruno Arleu de Araujo,Match Report,,11,3,25.4,1.0,0,0,2021,Atletico Mineiro
13,2021-07-01,19:00,Série A,Matchweek 8,Thu,Home,W,4,1,Atl Goianiense,2.2,0.8,47,,Réver,4-3-3,Flavio Rodrigues De Souza,Match Report,,19,9,22.3,1.0,0,0,2021,Atletico Mineiro
14,2021-07-04,17:15,Série A,Matchweek 9,Sun,Away,W,1,0,Cuiabá,1.0,0.7,41,,Réver,4-2-3-1,Savio Pereira,Match Report,,4,1,19.7,0.0,0,0,2021,Atletico Mineiro
15,2021-07-07,19:00,Série A,Matchweek 10,Wed,Home,W,2,1,Flamengo,1.8,1.2,50,,Réver,3-1-4-2,Paulo Roberto Alves Júnior,Match Report,,12,6,17.4,0.0,0,0,2021,Atletico Mineiro
16,2021-07-10,19:00,Série A,Matchweek 11,Sat,Away,W,1,0,América (MG),2.4,0.5,49,,Júnior Alonso,4-3-3,Anderson Daronco,Match Report,,13,5,19.4,1.0,0,0,2021,Atletico Mineiro
18,2021-07-17,19:00,Série A,Matchweek 12,Sat,Away,W,2,1,Corinthians,0.7,1.6,62,,Júnior Alonso,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,13,8,21.7,1.0,0,0,2021,Atletico Mineiro
20,2021-07-25,11:00,Série A,Matchweek 13,Sun,Home,W,3,0,Bahia,2.2,0.9,60,,Júnior Alonso,4-2-3-1,Antonio Dib Moraes de Sousa,Match Report,,11,4,17.8,2.0,1,1,2021,Atletico Mineiro
21,2021-08-01,16:00,Série A,Matchweek 14,Sun,Home,W,2,0,Ath Paranaense,1.3,0.7,60,,Júnior Alonso,4-2-3-1,Braulio da Silva Machado,Match Report,,10,2,18.8,0.0,1,1,2021,Atletico Mineiro
22,2021-08-08,16:00,Série A,Matchweek 15,Sun,Away,W,2,1,Juventude,2.0,0.4,64,,Hulk,4-2-3-1,André Luiz de Freitas Castro,Match Report,,20,4,21.8,3.0,0,0,2021,Atletico Mineiro
24,2021-08-14,19:00,Série A,Matchweek 16,Sat,Home,W,2,0,Palmeiras,1.8,0.1,67,,Hulk,4-2-3-1,Bruno Arleu de Araujo,Match Report,,15,6,18.2,1.0,0,0,2021,Atletico Mineiro
26,2021-08-23,20:00,Série A,Matchweek 17,Mon,Away,D,1,1,Fluminense,1.3,1.6,66,,Júnior Alonso,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,19,7,21.8,1.0,0,0,2021,Atletico Mineiro
27,2021-08-29,20:30,Série A,Matchweek 18,Sun,Away,D,1,1,Bragantino,2.3,0.4,66,,Júnior Alonso,4-2-3-1,Ramon Abatti Abel,Match Report,,26,7,18.9,1.0,0,0,2021,Atletico Mineiro
28,2021-09-12,16:00,Série A,Matchweek 20,Sun,Away,W,2,0,Fortaleza,1.0,0.6,52,,Júnior Alonso,4-2-3-1,Braulio da Silva Machado,Match Report,,11,4,18.3,0.0,0,0,2021,Atletico Mineiro
29,2021-09-18,19:00,Série A,Matchweek 21,Sat,Home,W,3,0,Sport Recife,2.4,0.3,59,,Júnior Alonso,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,21,8,22.8,2.0,1,1,2021,Atletico Mineiro
31,2021-09-25,21:00,Série A,Matchweek 22,Sat,Away,D,0,0,São Paulo,0.4,0.5,51,,Réver,3-5-2,Wilton Sampaio,Match Report,,11,4,22.9,0.0,0,0,2021,Atletico Mineiro
33,2021-10-02,21:00,Série A,Matchweek 23,Sat,Home,W,1,0,Internacional,1.4,0.5,57,,Júnior Alonso,4-4-2,Luiz Flávio de Oliveira,Match Report,,10,3,14.8,0.0,0,0,2021,Atletico Mineiro
34,2021-10-06,19:00,Série A,Matchweek 24,Wed,Away,D,2,2,Chapecoense,0.8,1.4,65,733.0,Hulk,4-2-3-1,André Luiz de Freitas Castro,Match Report,,16,5,22.8,2.0,0,0,2021,Atletico Mineiro
35,2021-10-09,16:30,Série A,Matchweek 25,Sat,Home,W,3,1,Ceará,2.7,1.4,54,10265.0,Réver,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,,11,3,21.7,0.0,1,1,2021,Atletico Mineiro
36,2021-10-13,19:00,Série A,Matchweek 26,Wed,Home,W,3,1,Santos,2.8,0.2,59,16514.0,Réver,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,,12,4,16.9,0.0,1,2,2021,Atletico Mineiro
37,2021-10-17,18:15,Série A,Matchweek 27,Sun,Away,L,1,2,Atl Goianiense,1.3,0.6,64,2963.0,Hulk,4-2-3-1,Raphael Claus,Match Report,,22,3,20.3,1.0,0,0,2021,Atletico Mineiro
38,2021-10-24,16:00,Série A,Matchweek 28,Sun,Home,W,2,1,Cuiabá,2.5,0.4,54,30501.0,Júnior Alonso,4-2-3-1,Savio Pereira,Match Report,,21,9,17.5,1.0,0,0,2021,Atletico Mineiro
39,2021-10-30,19:00,Série A,Matchweek 29,Sat,Away,L,0,1,Flamengo,0.7,0.9,62,20000.0,Júnior Alonso,4-2-3-1,Anderson Daronco,Match Report,,16,2,22.4,1.0,0,0,2021,Atletico Mineiro
40,2021-11-03,21:00,Série A,Matchweek 19,Wed,Home,W,2,1,Grêmio,1.6,1.7,53,55624.0,Réver,4-4-2,Luiz Flávio de Oliveira,Match Report,,14,3,26.1,2.0,1,1,2021,Atletico Mineiro
41,2021-11-07,16:00,Série A,Matchweek 30,Sun,Home,W,1,0,América (MG),2.0,0.6,56,60142.0,Júnior Alonso,4-2-3-1,Wilton Sampaio,Match Report,,18,7,16.5,1.0,0,0,2021,Atletico Mineiro
42,2021-11-10,19:00,Série A,Matchweek 31,Wed,Home,W,3,0,Corinthians,1.0,1.0,47,58714.0,Réver,4-2-3-1,Braulio da Silva Machado,Match Report,,11,5,20.3,1.0,0,0,2021,Atletico Mineiro
43,2021-11-16,16:00,Série A,Matchweek 33,Tue,Away,W,1,0,Ath Paranaense,0.7,0.4,55,6233.0,Réver,4-2-2-2,Savio Pereira,Match Report,,9,2,14.9,1.0,0,0,2021,Atletico Mineiro
44,2021-11-20,19:00,Série A,Matchweek 34,Sat,Home,W,2,0,Juventude,2.4,0.1,61,61476.0,Réver,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,17,4,21.4,0.0,1,1,2021,Atletico Mineiro
45,2021-11-23,21:30,Série A,Matchweek 35,Tue,Away,D,2,2,Palmeiras,1.4,1.8,57,17744.0,Júnior Alonso,4-2-2-2,Anderson Daronco,Match Report,,15,5,19.6,0.0,0,0,2021,Atletico Mineiro
46,2021-11-28,16:00,Série A,Matchweek 36,Sun,Home,W,2,1,Fluminense,1.8,0.3,48,59900.0,Júnior Alonso,4-2-2-2,Marielson Alves Silva,Match Report,,8,3,16.0,1.0,1,1,2021,Atletico Mineiro
47,2021-12-02,18:00,Série A,Matchweek 32,Thu,Away,W,3,2,Bahia,1.7,1.0,52,29415.0,Júnior Alonso,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,18,8,25.9,1.0,1,1,2021,Atletico Mineiro
